  , H                     , Zn                    , Zn(OH)2(aq)           , Zn(OH)3-              , Zn(OH)4--             , ZnOH+                 , Zn++                  , Na+               , NO3-              , Fe+++                 , Fe++                  , O2(aq)            , H_sorbed             , Zn_sorbed
10, 3.162277660168379e-08 , 1e-07                 , 1.819434050951917e-12 , 2.344372278955731e-16 , 2.7736351647719425e-21, 1.7774021524410157e-11, 9.886602112774784e-10 , 0.1000003833622584, 0.1000000031975435, 8.078145953088619e-17 , 2.901212809086495e-17 , 0.0002464700284365, 1.12903934145545e-05 , 9.89917463901721e-08
11, 1.7782794100389228e-08, 1e-07                 , 2.033483183439198e-12 , 4.666454113254137e-16 , 9.832549835804644e-21 , 1.1154089247032378e-11, 3.4836918604901365e-10, 0.1000007282204538, 0.1000000031975435, 1.4300272149793274e-17, 9.146774157913939e-18 , 0.0002464700284364, 5.42500086696077e-06 , 9.96384428848869e-08
12, 1e-08                 , 1e-07                 , 2.25919997429947e-12  , 9.233605097560045e-16 , 3.4651424764717715e-20, 6.957905633826183e-12 , 1.220154126784797e-10 , 0.1000013194558485, 0.1000000031975435, 2.531253213283514e-18 , 2.8835584130378967e-18, 0.0002464700284364, -1.81848450278245e-07, 9.98687666003205e-08
13, 9.999999999999999e-06 , 3.981071705534969e-07 , 7.219705901715275e-15 , 2.926091934921704e-21 , 1.0889024009688819e-28, 2.2422845554096235e-11, 3.965280641595801e-07 , 0.0999872042964256, 0.1000000031975435, 2.5958358272121543e-09, 2.9324003730208405e-12, 0.0002464700291695, 0.0001271865703206   , 1.5567579512859502e-09
14, 5.623413251903491e-06 , 3.981071705534969e-07 , 2.2658689802131225e-14, 1.632495335042321e-20 , 1.079944924521864e-27 , 3.958742817433184e-11 , 3.938145490653851e-07 , 0.0999924658980449, 0.1000000031975435, 4.6209474797210383e-10, 9.279526363329473e-13 , 0.0002464700286683, 0.0001095633789471   , 4.253092511496971e-09
15, 3.162277660168379e-06 , 3.981071705534969e-07 , 7.035083017054331e-14 , 9.013616814251548e-20 , 1.0603797980811334e-26, 6.911606316031971e-11 , 3.8663460805342925e-07, 0.0999954374531268, 0.1000000031975435, 8.216613095202647e-11 , 2.934271860041756e-13 , 0.0002464700285096, 9.30924316982928e-05 , 1.14034558339546e-08
16, 1.7782794100389227e-06, 3.981071705534969e-07 , 2.1212024526637322e-13, 4.8341430405719595e-19, 1.011554637010702e-25 , 1.1716134656692894e-10, 3.684669562608478e-07 , 0.0999971393702986, 0.1000000031975435, 1.4600584059479354e-11, 9.27438838374766e-14  , 0.0002464700284593, 7.80457205203065e-05 , 2.95229171091346e-08
17, 1e-06                 , 3.981071705534969e-07 , 5.958530625232231e-13 , 2.41575952297347e-18  , 8.992918699896514e-25 , 1.849968038291184e-10 , 3.270402595621195e-07 , 0.099998163469217 , 0.1000000031975435, 2.5932157767734964e-12, 2.9304269555987936e-14, 0.0002464700284436, 6.45044504606876e-05 , 7.08813866558426e-08
18, 5.62341325190349e-07  , 3.981071705534969e-07 , 1.4483719304683777e-12, 1.0447819755706888e-17, 6.919960824888331e-24 , 2.5274003361123825e-10, 2.511191878534436e-07 , 0.0999988520697169, 0.1000000031975435, 4.604105751608827e-13 , 9.25696591408564e-15  , 0.0002464700284388, 5.24319800075485e-05 , 1.46733847805299e-07
19, 3.162277660168379e-07 , 3.981071705534969e-07 , 2.818474176810617e-12 , 3.6176085121953205e-17, 4.263452278803751e-23 , 2.7640506114952204e-10, 1.5434402191279457e-07, 0.0999993593707256, 0.1000000031975435, 8.172580817634171e-14 , 2.9237795813536546e-15, 0.0002464700284374, 4.17613189218111e-05 , 2.43483959217509e-07
