sim,specified_pH,input_Zn_mol_L,time_days,pH,TOT-H+,TOT-Zn++,TOT-Na+,TOT-NO3-,TOT-Fe+++,TOT-O2(aq),SURF-H+,SURF-Zn++,SURF-Na+,SURF-NO3-,SURF-Fe+++,SURF-O2(aq),H+,Zn++,Na+,NO3-,Fe+++,O2(aq),Fe++,OH-,Zn(OH)2(aq),Zn(OH)3-,Zn(OH)4--,ZnOH+,>FeOH_str,>FeOH_weak,>FeO-_str,>FeOH2+_str,>FeOHZn+_str,>FeO-_w,>FeOH2+_w,>FeOHZn+_w
ph7p50_zn1e-07,7.5,1e-07,365.0,7.49867397274907,-3.80767735321368e-07,1.0082536098279e-09,0.100000380164708,0.1,1.09793530712627e-16,0.000246470000000048,1.12903934145545e-05,9.89917463901721e-08,0.0,0.0,0.0,0.0,3.808623311253087e-08,9.886602112774784e-10,0.10000038336225849,0.10000000319754354,8.078145953088619e-17,0.00024647002843651377,2.901212809086495e-17,4.1883263119999254e-07,1.819434050951917e-12,2.344372278955731e-16,2.7736351647719425e-21,1.7774021524410157e-11,4.24256965690994e-06,0.000172599995057549,5.19891971175276e-07,7.93130826275357e-07,9.49469847515585e-08,2.11507079248922e-05,3.22668542307368e-05,4.04476163861353e-09
ph7p75_zn1e-07,7.75,1e-07,365.0,7.74932997719296,-7.24557484904613e-07,3.61557115113343e-10,0.100000725022897,0.1,2.34470336220135e-17,0.000246470000000014,5.42500086696077e-06,9.96384428848869e-08,0.0,0.0,0.0,0.0,2.1385138822503208e-08,3.4836918604901365e-10,0.10000072822045389,0.10000000319754354,1.4300272149793274e-17,0.0002464700284364739,9.14677415791394e-18,7.459275421676403e-07,2.033483183439198e-12,4.666454113254136e-16,9.832549835804644e-21,1.1154089247032378e-11,4.25894449104195e-06,0.000173285483507077,5.81751402807595e-07,7.14276723031903e-07,9.55668222507285e-08,2.36699664291428e-05,2.90620804187642e-05,4.0716206341585e-09
ph8p00_zn1e-07,8.0,1e-07,365.0,7.99999991610293,-1.31652008553139e-06,1.31233399679868e-10,0.100001316258281,0.1,5.41480858483724e-18,0.000246470000000004,-1.81848450278245e-07,9.98687666003205e-08,0.0,0.0,0.0,0.0,1.2007213603167415e-08,1.220154126784797e-10,0.10000131945584852,0.10000000319754354,2.531253213283514e-18,0.0002464700284364626,2.8835584130378963e-18,1.3285160666577119e-06,2.25919997429947e-12,9.233605097560043e-16,3.4651424764717715e-20,6.957905633826183e-12,4.26398876483484e-06,0.000173497609523502,6.46364776057185e-07,6.44398319676381e-07,9.57875786343294e-08,2.62999622471349e-05,2.62199490198377e-05,4.08118796599105e-09
ph5p00_zn3p98107171e-07,5.0,3.981071705534969e-07,365.0,4.99635215569134,1.21071413591412e-05,3.96550413048715e-07,0.0999872010991141,0.1,2.59876751386332e-09,0.000246469999999952,0.000127186570320618,1.55675795128595e-09,0.0,0.0,0.0,0.0,1.2108486035327833e-05,3.965280641595801e-07,0.09998720429642562,0.10000000319754354,2.5958358272121543e-09,0.00024647002916950876,2.9324003730208405e-12,1.3174031839236823e-09,7.219705901715275e-15,2.926091934921704e-21,1.0889024009688819e-28,2.2422845554096235e-11,2.45956146884572e-06,9.84084641169351e-05,4.40593626901146e-08,3.14540902099494e-06,1.49415837896597e-09,1.76284035494135e-06,0.000125849617775205,6.25995723199792e-11
ph5p25_zn3p98107171e-07,5.25,3.981071705534969e-07,365.0,5.24620086517497,6.80909084171297e-06,3.93854078488501e-07,0.0999924627006367,0.1,4.63022562316474e-10,0.000246469999999918,0.000109563378947126,4.25309251149697e-09,0.0,0.0,0.0,0.0,6.811474421996021e-06,3.938145490653851e-07,0.09999246589804492,0.10000000319754354,4.6209474797210383e-10,0.00024647002866836205,9.279526363329471e-13,2.3418949253136714e-09,2.2658689802131225e-14,1.632495335042321e-20,1.0799449245218639e-27,3.958742817433184e-11,2.84090202482093e-06,0.000113718158179406,6.75266043454536e-08,2.73802606786712e-06,4.08199413231268e-09,2.70301510152527e-06,0.000109600147677641,1.71098379184283e-10
ph5p50_zn3p98107171e-07,5.5,3.981071705534969e-07,365.0,5.49621358423158,3.82602646689195e-06,3.86703715166046e-07,0.0999954342556659,0.1,8.24595315233507e-11,0.000246469999999862,9.30924316982928e-05,1.14034558339546e-08,0.0,0.0,0.0,0.0,3.830261344779099e-06,3.8663460805342915e-07,0.09999543745312683,0.10000000319754354,8.216613095202647e-11,0.0002464700285096782,2.9342718600417557e-13,4.164665418324132e-09,7.03508301705433e-14,9.013616814251547e-20,1.0603797980811334e-26,6.911606316031972e-11,3.17741360498387e-06,0.000127342942100403,9.78214099516224e-08,2.36435976654311e-06,1.09441691196104e-08,3.92044212480231e-06,9.47577389223376e-05,4.59286714344173e-10
ph5p75_zn3p98107171e-07,5.75,3.981071705534969e-07,365.0,5.74632110611,2.14585518565355e-06,3.68584253890864e-07,0.0999971361728071,0.1,1.46933228459474e-11,0.000246469999999714,7.80457205203065e-05,2.95229171091346e-08,0.0,0.0,0.0,0.0,2.1533810246060836e-06,3.6846695626084775e-07,0.09999713937029867,0.10000000319754354,1.4600584059479354e-11,0.0002464700284593564,9.27438838374766e-14,7.407772388720443e-09,2.1212024526637322e-13,4.834143040571959e-19,1.011554637010702e-25,1.1716134656692894e-10,3.45742590267462e-06,0.000138993196813218,1.34907572142176e-07,2.02987555401501e-06,2.83303243512801e-08,5.42346683806759e-06,8.16037422936104e-05,1.19259275785453e-09
ph6p00_zn3p98107171e-07,6.0,3.981071705534969e-07,365.0,5.99649827242343,1.19707632402934e-06,3.27225784344158e-07,0.0999981602717061,0.1,2.62251907293341e-12,0.000246469999999882,6.45044504606876e-05,7.08813866558426e-08,0.0,0.0,0.0,0.0,1.2104412310635119e-06,3.270402595621195e-07,0.09999816346921708,0.10000000319754354,2.5932157767734964e-12,0.0002464700284436643,2.930426955598793e-14,1.3178463575330183e-08,5.958530625232231e-13,2.41575952297347e-18,8.992918699896514e-25,1.8499680382911836e-10,3.67017933157651e-06,0.000148593490981545,1.77915491329257e-07,1.734446000632e-06,6.79986004614741e-08,7.20321313226044e-06,7.02220144703012e-05,2.88278619436851e-09
ph6p25_zn3p98107171e-07,6.25,3.981071705534969e-07,365.0,6.24672935127009,6.56615791874982e-07,2.51373323194702e-07,0.0999988488721952,0.1,4.69667355300107e-13,0.000246470000000065,5.24319800075485e-05,1.46733847805299e-07,0.0,0.0,0.0,0.0,6.803190278775228e-07,2.511191878534436e-07,0.09999885206971694,0.10000000319754354,4.604105751608827e-13,0.00024647002843883494,9.256965914085639e-15,2.3447461575829094e-08,1.4483719304683777e-12,1.0447819755706888e-17,6.91996082488833e-24,2.5274003361123825e-10,3.80844635704048e-06,0.000156223549999581,2.2506627250136e-07,1.47633611742393e-06,1.40690689430946e-07,9.23228234890656e-06,6.05597263593378e-05,6.04315837435264e-09
ph6p50_zn3p98107171e-07,6.5,3.981071705534969e-07,365.0,6.4969913228776,3.40337381430807e-07,1.54623211782494e-07,0.0999993561731939,0.1,8.46495521980651e-14,0.000246470000000233,4.17613189218111e-05,2.43483959217509e-07,0.0,0.0,0.0,0.0,3.823407893161798e-07,1.5434402191279457e-07,0.0999993593707256,0.10000000319754354,8.17258081763417e-14,0.00024647002843742184,2.9237795813536546e-15,4.1721294317149816e-08,2.8184741768106166e-12,3.617608512195321e-17,4.2634522788037503e-23,2.7640506114952204e-10,3.88445817840795e-06,0.000162062357858337,2.74773498019298e-07,1.25801562343386e-06,2.33292138714121e-07,1.14637457594428e-05,5.24853065150569e-05,1.01918205033878e-08
